timestamp,open,high,low,close
2024-06-15 18:47:00,66123.1,66123.1,66123.1,66123.1
2024-06-15 18:48:00,66123.1,66123.1,66123.0,66123.0
2024-06-15 18:49:00,66123.1,66123.1,66123.1,66123.1
2024-06-15 18:50:00,66123.0,66123.1,66123.0,66123.1
2024-06-15 18:51:00,66123.0,66123.1,66123.0,66123.0
2024-06-15 18:52:00,66123.1,66123.1,66123.0,66123.1
2024-06-15 18:53:00,66123.1,66123.1,66123.0,66123.0
2024-06-15 18:54:00,,,,
2024-06-15 18:55:00,,,,
2024-06-15 18:56:00,,,,
2024-06-15 18:57:00,,,,
2024-06-15 18:58:00,,,,
2024-06-15 18:59:00,,,,
2024-06-15 19:00:00,,,,
2024-06-15 19:01:00,,,,
2024-06-15 19:02:00,66123.1,66123.1,66123.1,66123.1
2024-06-15 19:03:00,,,,
2024-06-15 19:04:00,66123.1,66123.1,66123.0,66123.1
2024-06-15 19:05:00,66123.1,66123.1,66123.0,66123.0
2024-06-15 19:06:00,66123.1,66123.1,66100.0,66100.0
2024-06-15 19:07:00,66100.0,66100.1,66068.2,66068.2
2024-06-15 19:08:00,66068.2,66068.2,66060.0,66060.1
2024-06-15 19:09:00,66060.1,66063.1,66060.1,66063.1
2024-06-15 19:10:00,66063.1,66063.1,66063.1,66063.1
